group,variable,value,,,
0.25,2.25,98.9,,,
0.25,2.5,98.7,,,
0.25,2.75,103.2,,,
0.25,3,130.9,,,
0.25,3.25,125.5,,,
0.25,3.5,94.0,,,
0.25,3.75,96.3,,,
0.25,4,109.2,,,
0.25,4.25,106.5,,,
0.25,4.5,99.6,,,
0.25,4.75,58.7,,,
0.25,5,54.8,,,
0.25,5.25,50.2,,,
0.25,5.5,48.0,,,
0.5,0.75,55.5,,,
0.5,1.0,40.9,,,
0.5,1.25,49.5,,,
0.5,1.5,60.4,,,
0.5,1.75,83.6,,,
0.5,2,70.8,,,
0.5,2.25,90.7,,,
0.5,2.5,90.2,,,
0.5,2.75,103.3,,,
0.5,3,108.4,,,
0.5,3.25,108.0,,,
0.5,3.5,88.0,,,
0.5,3.75,100.6,,,
0.5,4,107.1,,,
0.5,4.25,95.2,,,
0.5,4.5,71.1,,,
0.5,4.75,57.8,,,
0.5,5,58.9,,,
0.5,5.25,47.7,,,
0.5,5.5,0.0,,,
0.75,0.75,0.0,,,
0.75,1.0,49.0,,,
0.75,1.25,59.2,,,
0.75,1.5,93.3,,,
0.75,1.75,95.4,,,
0.75,2,104.5,,,
0.75,2.25,91.8,,,
0.75,2.5,107.6,,,
0.75,2.75,109.3,,,
0.75,3,93.8,,,
0.75,3.25,74.5,,,
0.75,3.5,0.0,,,
0.75,3.75,73.0,,,
0.75,4,84.6,,,
0.75,4.25,85.4,,,
0.75,4.5,60.5,,,
0.75,4.75,53.9,,,
0.75,5,44.3,,,
0.75,5.25,0.0,,,
0.75,5.5,50.0,,,
1.0,0.75,60.3,,,
1.0,1.0,44.5,,,
1.0,1.25,58.6,,,
1.0,1.5,95.4,,,
1.0,1.75,106.5,,,
1.0,2,106.7,,,
1.0,2.25,91.2,,,
1.0,2.5,102.3,,,
1.0,2.75,106.1,,,
1.0,3,100.2,,,
1.0,3.25,77.5,,,
1.0,3.5,91.6,,,
1.0,3.75,51.7,,,
1.0,4,45.8,,,
1.0,4.25,49.9,,,
1.0,4.5,54.2,,,
1.0,4.75,43.1,,,
1.0,5,54.0,,,
1.0,5.25,46.0,,,
1.0,5.5,0.0,,,
1.25,0.75,40.5,,,
1.25,1.0,52.6,,,
1.25,1.25,41.2,,,
1.25,1.5,76.0,,,
1.25,1.75,94.0,,,
1.25,2,74.8,,,
1.25,2.25,93.7,,,
1.25,2.5,74.3,,,
1.25,2.75,73.2,,,
1.25,3,94.6,,,
1.25,3.25,89.0,,,
1.25,3.5,78.2,,,
1.25,3.75,70.0,,,
1.25,4,47.0,,,
1.25,4.25,48.2,,,
1.25,4.5,54.8,,,
1.25,4.75,46.0,,,
1.25,5,44.7,,,
1.25,5.25,46.0,,,
1.25,5.5,59.2,,,
1.5,0.75,0.0,,,
1.5,1.0,41.0,,,
1.5,1.25,40.0,,,
1.5,1.5,46.0,,,
1.5,1.75,55.5,,,
1.5,2,44.1,,,
1.5,2.25,54.4,,,
1.5,2.5,45.8,,,
1.5,2.75,43.1,,,
1.5,3,41.2,,,
1.5,3.25,50.5,,,
1.5,3.5,54.6,,,
1.5,3.75,50.2,,,
1.5,4,45.3,,,
1.5,4.25,46.4,,,
1.5,4.5,91.6,,,
1.5,4.75,105.4,,,
1.5,5,0.0,,,
1.5,5.25,58.0,,,
1.5,5.5,0.0,,,
1.75,0.75,60.0,,,
1.75,1.0,52.5,,,
1.75,1.25,42.0,,,
1.75,1.5,43.5,,,
1.75,1.75,41.5,,,
1.75,2,40.2,,,
1.75,2.25,54.3,,,
1.75,2.5,60.7,,,
1.75,2.75,59.8,,,
1.75,3,42.8,,,
1.75,3.25,60.9,,,
1.75,3.5,44.4,,,
1.75,3.75,41.6,,,
1.75,4,48.2,,,
1.75,4.25,77.0,,,
1.75,4.5,41.3,,,
